name,period,mass
11 Com b,326.03,19.4
11 UMi b,516.22,10.5
14 And b,185.84,4.8
14 Her b,1796.4,4.74
16 Cyg B b,800.8,1.5
17 Sco b,578.38,4.32
18 Del b,993.3,10.3
24 Boo b,30.3506,0.91
24 Sex b,452.8,1.99
24 Sex c,883,0.86
30 Ari B b,345.4,6.6
4 UMa b,269.3,7.1
42 Dra b,479.1,3.88
47 UMa b,1100.8,2.76
47 UMa c,7586,1.34
47 UMa d,19000,1.51
51 Peg b,4.231,0.46
55 Cnc b,14.67,0.784
55 Cnc c,44.4175,0.1714
55 Cnc d,5574.2,3.12
55 Cnc e,2.808,0.045
55 Cnc f,262,0.141
6 Lyn b,934.3,2.01
61 Vir b,4.215,0.016
61 Vir c,38.0957,0.0507
61 Vir d,123.01,0.072
7 CMa b,796,2.46
7 CMa c,996,0.87
70 Vir b,116.69335,7.23
75 Cet b,691.9,3
8 UMi b,93.4,1.31
81 Cet b,952.7,5.3
91 Aqr b,181.4,3.2
alf Ari b,380.8,1.8
alf Tau b,628.96,6.47
BD-00 4475 b,723.2,25.05
BD-06 1339 b,3.8728,0.027
BD-06 1339 c,125.94,0.17
BD-08 2823 b,5.6,0.04
BD-08 2823 c,237.6,0.33
BD-10 3166 b,3.487905,0.449
BD-11 4672 b,1667,0.53
BD-11 4672 c,74.2,0.04836
BD-13 2130 b,714.3,10.6
BD-17 63 b,655.6,5.1
BD+03 2562 b,481.9,6.4
BD+14 4559 b,268.94,1.04
BD+15 2375 b,153.22,1.061
BD+15 2940 b,137.48,1.11
BD+20 2457 b,379.63,21.42
BD+20 2457 c,621.99,12.47
BD+20 274 b,578.2,4.2
BD+45 564 b,307.88,1.36
BD+48 738 b,392.6,0.91
BD+48 740 b,733,1.7
BD+49 828 b,2590,1.6
BD+55 362 b,265.59,0.72
BD+63 1405 b,1198.48,3.96
bet Cnc b,605.2,7.8
bet Pic c,1200,9
bet UMi b,522.3,6.1
CD Cet b,2.2907,0.01243
CI Tau b,8.9891,11.6
CoRoT-20 c,1675,17
CoRoT-7 c,3.7,0.043
CoRoT-7 d,8.966,0.05393
DMPP-1 b,18.57,0.07636
DMPP-1 c,6.584,0.0302
DMPP-1 d,2.882,0.01054
DMPP-1 e,5.516,0.01299
DMPP-2 b,5.2072,0.437
DMPP-3 A b,6.6736,0.00812
eps CrB b,417.9,6.7
eps Eri b,2690,0.78
eps Ind A b,16510,3.25
eps Tau b,594.9,7.6
G 264-012 b,2.30538,0.00787
G 264-012 c,8.0518,0.0118
gam 1 Leo b,428.5,8.78
gam Cep b,905.574,1.7
gam Lib b,415.2,1.02
gam Lib c,964.6,4.58
gam Psc b,555.1,1.34
GJ 1061 b,3.204,0.00431
GJ 1061 c,6.689,0.00547
GJ 1061 d,13.031,0.00516
GJ 1132 c,8.929,0.00831
GJ 1148 b,41.397,0.298
GJ 1148 c,535.9,0.26
GJ 1265 b,3.6511,0.02328
GJ 15 A b,11.4433,0.01683
GJ 15 A c,7600,0.11327
GJ 160.2 b,5.2354,0.03209
GJ 163 b,8.63182,0.03335
GJ 163 c,25.63058,0.0214
GJ 163 d,603.95116,0.0925
GJ 179 b,2333,0.752
GJ 180 b,17.38,0.02611
GJ 180 c,24.329,0.02014
GJ 180 d,106.3,0.02379
GJ 2056 b,69.971,0.05097
GJ 229 A c,121.995,0.02287
GJ 229 b,526.115,0.02667
GJ 251 b,14.238,0.01259
GJ 27.1 b,15.819,0.0409
GJ 273 b,18.6498,0.00909
GJ 273 c,4.7234,0.00371
GJ 3021 b,133.71,3.37
GJ 3082 b,11.949,0.0258
GJ 3138 b,1.22003,0.0056
GJ 3138 c,5.974,0.01315
GJ 3138 d,257.8,0.03304
GJ 317 b,695.66,1.75282
GJ 317 c,10000,2
GJ 328 b,4100,2.3
GJ 3293 b,30.6,0.081
GJ 3293 c,123.75,0.081
GJ 3293 d,48.1345,0.02391
GJ 3293 e,13.2543,0.01032
GJ 3323 b,5.3636,0.00636
GJ 3323 c,40.54,0.00727
GJ 3341 b,14.207,0.0208
GJ 338 B b,24.45,0.03231
GJ 3470 b,3.33714,0.044
GJ 3473 c,15.509,0.02331
GJ 3512 b,203.69,0.46
GJ 3512 c,1599.6,0.2
GJ 357 c,9.1247,0.0107
GJ 357 d,55.661,0.01919
GJ 3634 b,2.64561,0.026
GJ 3779 b,3.0232,0.02517
GJ 3929 c,15.04,0.01797
GJ 393 b,7.02679,0.00538
GJ 3942 b,6.905,0.02246
GJ 3998 b,2.64977,0.00777
GJ 3998 c,13.74,0.0197
GJ 411 b,12.9532,0.00941
GJ 414 A b,51.625,0.0322
GJ 414 A c,749.83,0.16937
GJ 422 b,26.161,0.03115
GJ 4276 b,13.352,0.05213
GJ 433 b,7.3709,0.018
GJ 433 c,5094.105,0.10201
GJ 433 d,36.059,0.01643
GJ 436 b,2.6441,0.067
GJ 480 b,9.567,0.04153
GJ 486 b,1.467119,0.00887
GJ 514 b,140.43,0.01636
GJ 536 b,8.708,0.02051
GJ 581 b,5.36879,0.0511
GJ 581 c,12.9292,0.017
GJ 581 e,3.153,0.00521
GJ 625 b,14.628,0.00887
GJ 649 b,604.8,0.275
GJ 667 C b,7.20066,0.01789
GJ 667 C c,28.155,0.0143
GJ 667 C e,62.24,0.008
GJ 667 C f,39.026,0.008
GJ 667 C g,256.2,0.014
GJ 674 b,4.6938,0.035
GJ 676 A b,1056.80005,4.96
GJ 676 A c,7337,6.8
GJ 676 A d,3.6005,0.014
GJ 676 A e,35.39,0.025
GJ 682 b,17.478,0.01384
GJ 682 c,57.32,0.02737
GJ 685 b,24.16,0.02832
GJ 687 b,38.152,0.0553
GJ 687 c,727.562,0.05034
GJ 720 A b,19.466,0.04292
