name,period,mass
AU Mic b,8.46321,0.0538
AU Mic c,18.859019,0.04279
BD+20 594 b,41.6855,0.05129
CoRoT-1 b,1.50897655,1.07
CoRoT-10 b,13.2406,2.73
CoRoT-11 b,2.99433,2.33
CoRoT-12 b,2.82805268,0.873
CoRoT-13 b,4.03519,1.308
CoRoT-14 b,1.51214,7.42
CoRoT-16 b,5.35227,0.529
CoRoT-17 b,3.7681,2.41
CoRoT-18 b,1.90009,3.3
CoRoT-19 b,3.89713,1.09
CoRoT-2 b,1.7429975,3.31
CoRoT-20 b,9.24318,4.14
CoRoT-21 b,2.72474,2.22
CoRoT-22 b,9.75598,0.038
CoRoT-23 b,3.6313,2.8
CoRoT-24 b,5.1134,0.018
CoRoT-24 c,11.759,0.088
CoRoT-25 b,4.86069,0.27
CoRoT-26 b,4.20474,0.52
CoRoT-27 b,3.57532,10.3
CoRoT-28 b,5.20851,0.481
CoRoT-29 b,2.85057,0.84
CoRoT-3 b,4.2568,21.66
CoRoT-30 b,9.06005,2.9
CoRoT-31 b,4.62941,0.84
CoRoT-35 b,3.22748,1.1
CoRoT-36 b,5.616531,0.68
CoRoT-4 b,9.20205,0.703
CoRoT-5 b,4.0379156,0.459
CoRoT-6 b,8.886593,2.95
CoRoT-7 b,0.854,0.01447
CoRoT-8 b,6.212445,0.218
CoRoT-9 b,95.2738,0.826
CoRoTID 223977153 b,6.71837,0.15
DS Tuc A b,8.1387,1.3
EPIC 211945201 b,19.49213,0.08495
EPIC 220674823 b,0.571336,0.02832
EPIC 220674823 c,13.3397,0.01825
EPIC 246851721 b,6.180235,3
EPIC 248847494 b,3650,13
EPIC 249893012 b,3.5951,0.02753
EPIC 249893012 c,15.624,0.04616
EPIC 249893012 d,35.747,0.03203
Gaia-1 b,3.052524,1.68
Gaia-2 b,3.6915224,0.817
GJ 1132 b,1.628931,0.00522
GJ 1214 b,1.58040487,0.02004
GJ 1252 b,0.5182349,0.00658
GJ 143 b,35.61253,0.07142
GJ 3473 b,1.1980035,0.00585
