# Star  v_mag   B-V
#====================
    1  17.169   0.645
    2  17.172   0.546
    3  17.186   0.593
    4  17.191   0.622
    5  17.203   0.558
    6  17.214   0.582
    7  17.322   0.557
    8  17.328   0.569
    9  17.451   0.549
   10  17.541   0.544
   11  17.560   0.535
   12  17.678   0.543
   13  17.702   0.551
   14  17.743   0.539
   15  17.764   0.537
   16  17.826   0.536
   17  17.868   0.542
   18  17.877   0.549
   19  17.878   0.553
   20  17.888   0.559
   21  17.902   0.563
   22  17.909   0.546
   23  17.931   0.553
   24  17.956   0.550
   25  18.022   0.551
   26  18.141   0.600
   27  18.143   0.544
   28  18.173   0.586
   29  18.225   0.574
   30  18.270   0.589
   31  18.286   0.561
   32  18.377   0.593
   33  18.394   0.580
   34  18.407   0.607
   35  18.409   0.574
   36  18.410   0.590
   37  18.436   0.596
   38  18.438   0.580
   39  18.470   0.602
   40  18.471   0.594
   41  18.483   0.594
   42  18.561   0.596
   43  18.596   0.614
   44  18.618   0.586
   45  18.703   0.628
   46  18.725   0.609
   47  18.773   0.626
   48  18.778   0.628
   49  18.792   0.659
   50  18.796   0.652
   51  18.804   0.643
   52  18.896   0.634
   53  18.980   0.690
   54  19.044   0.694
   55  19.094   0.690
   56  19.120   0.679
   57  19.173   0.709
   58  19.218   0.723
   59  19.323   0.735
   60  19.349   0.738
   61  19.363   0.710
   62  19.404   0.699
   63  19.442   0.740
   64  19.461   0.670
   65  19.475   0.747
   66  19.487   0.765
   67  19.491   0.765
   68  19.494   0.697
   69  19.501   0.757
   70  19.515   0.756
   71  19.527   0.755
   72  19.529   0.774
   73  19.532   0.751
   74  19.534   0.783
   75  19.648   0.769
   76  19.650   0.736
   77  19.673   0.785
   78  19.673   0.778
   79  19.718   0.787
   80  19.831   0.810
   81  19.838   0.816
   82  19.859   0.795
   83  19.871   0.819
   84  19.886   0.809
   85  19.934   0.839
   86  19.979   0.848
   87  19.982   0.844
   88  20.060   0.851
   89  20.065   0.852
   90  20.116   0.860
   91  20.132   0.860
   92  20.137   0.894
   93  20.143   0.873
   94  20.150   0.881
   95  20.151   0.863
   96  20.175   0.883
   97  20.197   0.888
   98  20.213   0.899
   99  20.236   0.914
  100  20.316   0.918
  101  20.330   0.933
  102  20.367   0.826
  103  20.389   0.922
  104  20.392   0.927
  105  20.414   0.914
  106  20.428   0.917
  107  20.432   0.991
  108  20.471   0.916
  109  20.501   0.952
  110  20.531   0.959
  111  20.552   0.979
  112  20.557   0.981
  113  20.604   0.982
  114  20.621   0.977
  115  20.644   1.010
  116  20.666   0.971
  117  20.669   1.011
  118  20.673   0.972
  119  20.678   0.974
  120  20.732   0.971
  121  20.739   1.012
  122  20.755   0.978
  123  20.768   1.023
  124  20.809   0.980
  125  20.833   1.024
  126  20.850   1.025
  127  20.865   1.069
  128  20.883   1.016
  129  20.888   1.038
  130  20.947   1.046
  131  20.992   1.110
  132  21.001   1.097
  133  21.008   1.054
  134  21.014   1.020
  135  21.043   1.000
  136  21.085   1.012
  137  21.098   1.103
  138  21.104   1.108
  139  21.113   1.078
  140  21.114   1.085
  141  21.118   1.082
  142  21.144   1.098
  143  21.147   1.054
  144  21.149   1.080
  145  21.157   1.092
  146  21.170   1.111
  147  21.172   1.140
  148  21.185   1.106
  149  21.192   1.090
  150  21.252   1.130
  151  21.294   1.150
  152  21.295   1.159
  153  21.295   1.166
  154  21.322   1.196
  155  21.332   1.097
  156  21.353   1.172
  157  21.365   1.213
  158  21.369   1.133
  159  21.382   1.153
  160  21.410   1.118
  161  21.422   1.226
  162  21.426   1.163
  163  21.429   1.096
  164  21.479   1.181
  165  21.517   1.173
  166  21.563   1.048
  167  21.580   1.189
  168  21.583   1.144
  169  21.591   1.210
  170  21.649   1.230
  171  21.665   1.209
  172  21.672   1.209
  173  21.699   1.109
  174  21.717   1.120
  175  21.762   1.299
  176  21.768   1.295
  177  21.790   1.229
  178  21.811   1.228
  179  21.820   1.290
  180  21.823   1.283
  181  21.826   1.249
  182  21.834   1.186
  183  21.850   1.199
  184  21.865   1.141
  185  21.871   1.270
  186  21.878   1.391
