#     star       v_mag     B-V color
#
         1       3.64       0.99
         2       3.76       0.98
         3       3.54       1.02
         4       4.64       0.15
         5       5.81       0.41
         6       5.97       0.34
         7       4.65       0.25
         8       5.10       0.22
         9       5.99       0.27
        10       5.42       0.24
        11       5.72       0.36
        12       5.65       0.28
        13       4.28       0.26
        14       5.03       0.22
        15       4.27       0.12
        16       5.39       0.26
        17       4.69       0.15
        18       5.37       0.20
        19       6.38       0.41
        20       6.33       0.40
        21       5.59       0.28
        22       5.26       0.23
        23       6.18       0.46
        24       5.72       0.31
        25       7.86       0.68
        26       5.64       0.30
        27       4.80       0.16
        28       5.98       0.37
        29       4.22       0.14
        30       5.27       0.24
        31       4.29       0.05
        32       6.46       0.49
        33       5.72       0.27
        34       3.85       0.95
        35       3.40       0.18
        36       4.78       0.17
        37       5.48       0.26
        38       5.40       0.26
        39       6.02       0.34
        40       7.54       0.61
        41       5.78       0.31
        42       7.53       0.58
        43       5.40       0.25
        44       6.75       0.45
        45       8.89       0.84
        46       9.37       0.92
        47       7.05       0.42
        48       8.08       0.66
        49       7.84       0.71
        50       9.15       0.82
        51       6.80       0.44
        52       8.85       0.76
        53       7.18       0.45
        54       7.13       0.52
        55       7.38       0.54
        56       9.19       0.76
        57       8.59       0.74
        58       6.05       0.39
        59       9.40       0.81
        60       9.07       0.84
        61       9.59       1.05
        62       8.59       0.69
        63       8.99       0.90
        64       7.85       0.59
        65       6.02       0.40
        66       6.62       0.42
        67       8.46       0.70
        68       8.06       0.64
        69       7.12       0.51
        70       8.32       0.76
        71       7.53       0.68
        72       9.59       0.98
        73       8.63       0.74
        74       8.43       0.73
        75       6.89       0.56
        76       7.47       0.57
        77       6.13       0.37
        78       6.81       0.44
        79       6.61       0.41
        80       9.81       1.18
        81       6.99       0.56
        82       9.40       0.91
        83      10.50       1.23
        84       9.11       0.86
        85       7.62       0.60
        86       8.24       0.59
        87       6.97       0.44
        88       7.80       0.60
        89       7.53       0.68
        90       7.48       0.54
        91       4.49       0.25
        92       8.03       0.65
        93       8.10       0.67
        94       9.46       1.03
        95       7.42       0.54
        96       7.51       0.55
        97      11.00       1.20
        98       9.02       0.84
        99       5.89       0.32
       100       8.63       0.75
       101       7.85       0.60
       102       6.59       0.53
       103       7.04       0.50
       104       6.91       0.45
       105       8.96       0.83
       106       9.10       0.86
       107       7.10       0.47
       108       8.94       0.85
       109       6.51       0.43
       110       7.04       0.47
       111       8.94       0.88
       112       8.65       0.74
       113       9.41       0.89
       114       6.62       0.43
       115       8.49       0.84
       116       9.67       0.92
       117       7.89       0.64
       118       9.38       0.86
       119       6.65       0.44
       120       7.96       0.66
       121      10.04       1.08
       122       9.47       1.10
       123       8.32       0.67
       124       8.53       0.72
       125       8.99       0.83
       126       7.74       0.58
       127       7.11       0.56
       128       7.59       0.73
       129       7.29       0.50
       130       6.77       0.53
       131       7.89       0.53
       132       6.27       0.50
       133       6.37       0.29
       134       8.89       0.74
       135       9.00       0.76
       136       7.39       0.57
       137       8.93       0.76
       138       6.38       0.41
       139       7.26       0.56
       140       9.92       0.95
