#        V          B-V
#
       18.45       0.745
       18.45       0.646
       18.47       0.693
       18.47       0.722
       18.48       0.658
       18.49       0.682
        18.6       0.657
       18.61       0.669
       18.73       0.649
       18.82       0.644
       18.84       0.635
       18.96       0.643
       18.98       0.651
       19.02       0.639
       19.04       0.637
       19.11       0.636
       19.15       0.642
       19.16       0.649
       19.16       0.653
       19.17       0.659
       19.18       0.663
       19.19       0.646
       19.21       0.653
       19.24        0.65
        19.3       0.651
       19.42         0.7
       19.42       0.644
       19.45       0.686
        19.5       0.674
       19.55       0.689
       19.57       0.661
       19.66       0.693
       19.67        0.68
       19.69       0.707
       19.69       0.674
       19.69        0.69
       19.72       0.696
       19.72        0.68
       19.75       0.702
       19.75       0.694
       19.76       0.694
       19.84       0.696
       19.88       0.714
        19.9       0.686
       19.98       0.728
          20       0.709
       20.05       0.726
       20.06       0.728
       20.07       0.759
       20.08       0.752
       20.08       0.743
       20.18       0.734
       20.26        0.79
       20.32       0.794
       20.37        0.79
        20.4       0.779
       20.45       0.809
        20.5       0.823
        20.6       0.835
       20.63       0.838
       20.64        0.81
       20.68       0.799
       20.72        0.84
       20.74        0.77
       20.75       0.847
       20.77       0.865
       20.77       0.865
       20.77       0.797
       20.78       0.857
       20.79       0.856
       20.81       0.855
       20.81       0.874
       20.81       0.851
       20.81       0.883
       20.93       0.869
       20.93       0.836
       20.95       0.885
       20.95       0.878
          21       0.887
       21.11        0.91
       21.12       0.916
       21.14       0.895
       21.15       0.919
       21.17       0.909
       21.21       0.939
       21.26       0.948
       21.26       0.944
       21.34       0.951
       21.34       0.952
        21.4        0.96
       21.41        0.96
       21.42       0.994
       21.42       0.973
       21.43       0.981
       21.43       0.963
       21.45       0.983
       21.48       0.988
       21.49       0.999
       21.52       1.014
        21.6       1.018
       21.61       1.033
       21.65       0.926
       21.67       1.022
       21.67       1.027
       21.69       1.014
       21.71       1.017
       21.71       1.091
       21.75       1.016
       21.78       1.052
       21.81       1.059
       21.83       1.079
       21.84       1.081
       21.88       1.082
        21.9       1.077
       21.92        1.11
       21.95       1.071
       21.95       1.111
       21.95       1.072
       21.96       1.074
       22.01       1.071
       22.02       1.112
       22.03       1.078
       22.05       1.123
       22.09        1.08
       22.11       1.124
       22.13       1.125
       22.14       1.169
       22.16       1.116
       22.17       1.138
       22.23       1.146
       22.27        1.21
       22.28       1.197
       22.29       1.154
       22.29        1.12
       22.32         1.1
       22.36       1.112
       22.38       1.203
       22.38       1.208
       22.39       1.178
       22.39       1.185
        22.4       1.182
       22.42       1.198
