#star       V          vr        MV
#====     ===        ======   ======
  1       9.40         33       0.78
  2       7.80         13       0.97
  3       8.01         -4       1.17
  4       8.82          2       0.91
  5       9.90        -47       1.41
  6       9.34        -10       1.10
  7       7.70         13      -0.88
  8       9.70          2       0.92
  9       8.53         32       1.38
 10       8.60        -16       0.78
 11       8.20         42       1.14
 12       5.67          7       0.81
 13       8.50         24       1.36
 14       8.22        -26       1.84
 15       9.10         -1       1.75
 16       9.29          5       1.54
 17       7.22         23       1.10
 18       9.15         24       0.19
 19       9.02        -36       0.44
 20       9.31        -30       1.86
 21       9.35         14       1.36
 22       7.08         -1      -0.25
 23       7.68          2       0.22
 24       8.80         38      -0.58
 25       9.10         56       1.79
 26       5.41         -5       0.39
 27       6.94        -11       1.01
 28       7.80        -17       0.59
 29       5.25        -12       0.50
 30       9.72          7       1.11
 31       9.26        -50       2.08
 32       9.57          8      -0.41
 33       8.42         23       0.02
 34       7.53        -12      -0.29
 35       8.80        -50      -0.81
 36       7.43          9       0.99
 37       9.18         29       1.72
 38       6.87        -88       1.11
 39       6.31         20       0.64
 40       7.90         37      -0.49
 41       8.69         14       0.69
 42       9.10        -23       2.10
 43       6.17        -52       0.99
 44       8.15         12       1.12
 45       8.10         11       0.34
 46       8.26         11      -0.79
 47       5.67         26       0.29
 48       9.71         10       1.40
 49       7.33          8       0.62
 50       8.92         -1       1.23
 51       6.67         30       0.87
 52       9.58        -27       1.84
 53       9.06         34       0.83
 54       8.17         32       0.31
 55       8.14         22       0.88
 56       6.70          1      -0.40
 57       8.49        -14       0.87
 58       7.74         25      -0.10
 59       6.74        -65      -1.67
 60       7.45        -37       1.78
 61       8.78         26      -0.34
 62       9.02        -18       0.81
 63       8.67        -16       1.17
 64       8.76         34       1.04
 65       7.57         22       0.39
 66       9.54        -32       1.76
 67       8.72        -22       0.74
 68       9.35         -1       1.98
 69       8.70         24       1.25
 70       9.56         24       1.50
 71       7.83         -6       1.54
 72       8.28          0       0.13
 73       6.88        -43       1.09
 74       9.73          3       1.30
 75       9.60         -2       0.55
 76       9.20         13      -0.06
 77       9.42          5       1.05
 78       7.59          0      -0.47
 79       9.42         26       1.46
 80       8.30         -2       0.45
 81       9.69         -5       1.83
 82       9.20          6       0.95
 83       8.45        -13       1.55
 84       8.80          7       0.91
 85       9.86         15       0.65
 86       9.98         -2       1.78
 87       6.59          0       0.81
 88       9.38          2       1.37
 89      10.01        -32       1.30
 90       9.58         -5       0.81
 91       8.77          0       0.77
 92       7.11        -18       0.82
 93       9.78          1       1.23
 94       9.10         -4       1.84
 95       9.60         33       1.00
 96       9.30         76       0.01
 97       8.61        -46       0.79
 98       8.58         11       0.20
 99       7.40         13       0.11
100       5.55         -7       0.37
101       9.70         32       1.91
102       8.13          8       0.69
103       9.82         15       0.88
104       9.54          3       1.11
105       7.77        -36       1.35
106       8.98          0       1.83
107       8.05         27       1.40
108       9.70        -17       1.57
109       9.51          2       1.05
110       9.98         -5       1.81
111       9.10         -1       0.80
112       8.72         14       0.37
113       8.40         -7       0.48
114      10.10         10       1.36
115       8.33        -14       1.13
116       9.81         13       1.29
117       7.90        -11       0.48
118       8.80          9       1.03
119       9.16          0      -1.02
120       9.74        -33       1.07
121       9.60         29       1.19
122       9.44         41       0.30
123       9.66         22       1.64
124       9.60          2       0.40
125       8.80         26       0.06
126       7.83         12       0.60
127       9.10         22       0.49
128       9.82          7       0.52
129      10.30         -5       2.09
130       8.42          4       1.45
131       9.70          2       0.97
132       9.75        -43       1.54
133       9.50         -5       1.94
134       9.61         13       1.21
135       6.58         34      -0.52
136       8.97         27       0.91
137      10.37         25      -2.13
138      10.03          7       1.00
139       9.30         -1       0.98
140       7.41        -18       0.74
141       7.90        -31       1.09
142       8.61         -8       1.81
143       7.68         -2       1.56
144       9.00         23       1.04
145       8.66         12       1.52
146       9.40        -30      -0.11
147       8.20         59       0.66
148       9.22         32       1.61
149       9.00         18       2.11
150       9.79         15       1.56
151       9.84         15       0.31
152       6.80         10       1.35
153       9.07         11       0.53
154       9.10         15       0.88
155       9.33         10       1.41
156       8.83         30       1.59
157       8.38         19       0.59
158       5.70          2       1.16
159       9.08         25       0.75
160       7.10         28      -0.30
161       8.88         10       0.59
162       8.82         19       0.99
163       9.30         13      -1.01
164       9.84         -6      -1.74
165       8.84        -17      -1.41
166       9.20         -8       1.41
167       8.37         19       0.23
168       8.39          3       1.47
169       8.60        -15       1.93
170       8.08         -4       0.86
171       9.93         40       1.52
172       9.50          3      -1.17
173       8.37        -14       1.02
174       7.94         21       1.23
175       8.00         18       0.80
176       8.21          7       1.12
177       8.80        -14       1.66
178       5.46         37      -0.31
179       9.40          3       2.01
180       9.30         38       1.15
181       8.56          1       1.05
182       9.74         16       0.17
183       9.60         -7       1.43
184       8.70        -11       1.63
185       9.10         12       1.45
186       7.09        -11       1.05
187       8.30         10       1.67
188       8.00         18       1.17
189       8.90         17      -0.46
190       8.48        -10       1.28
191       9.46         26      -2.41
192       8.20         10       1.12
193       9.27          1       1.12
194       9.45         -3       0.91
195       8.41          8       0.74
196       9.20         17      -1.63
197       7.90         78       1.71
198       9.00        -12       1.75
199       8.38         -1       1.08
200       9.20        -15       1.66
201       9.18         18       0.95
202       7.24          2       1.31
203       8.40         -4       1.06
204       9.50        -55       0.96
205       7.69         10       0.86
206       9.22         13       0.78
207       8.12        -10       2.08
208       8.13          2       1.53
209       9.52         14       1.36
210       9.17        -38       1.95
211       9.80         39       2.03
212       9.70          0       1.03
213       8.95        -35      -0.09
214       7.53          8       0.49
215       8.85         30       0.74
216       6.46         12       0.90
217       9.01          4       0.26
218       9.79        -10       0.94
219       7.89         16       0.75
220       6.14         29       0.58
221       8.11          5      -0.28
222       9.04         -3       0.79
223       9.47         40       0.86
224       9.00         19       1.12
225       7.49         -5       0.62
226       7.97          0       1.11
227       8.89          8       1.04
228       9.00        -19       1.49
229       8.94         -2       0.94
230      10.54          6       2.01
