#        ngc         mB          mR          mI          inc      Vc_obs
#
        4178       11.47       10.69       10.32          78         142
        4189       12.34       11.25       10.75          55         143
        4192       10.24        9.13        8.61          86       237.5
        4206       12.18       11.28       10.93          90         145
        4212       11.69       10.46       10.04          44         141
        4216       10.12        8.83        8.34          90       268.5
        4254       10.28        9.26        8.81          29         134
        4321        9.91        8.76        8.19          25       136.5
        4380       12.23       10.89       10.23          61       151.5
        4388       11.05       10.06        9.62          83       187.5
        4450       10.81        9.44        8.82          48         162
        4451       13.27       12.07       11.55          51         118
        4498       12.62       11.63       11.11          63         100
        4501       10.07        8.82        8.18          61       270.5
        4519       12.47       11.59       11.14          44        98.5
        4522       12.47       11.58       11.11          79       122.5
        4532       12.11       11.32       10.94          61         115
        4535       10.58        9.55        9.09          45       144.5
        4548       10.87        9.52        8.89          35       130.5
        4571       11.96       10.63       10.01          35        87.5
        4579        10.3        8.93        8.33          42       188.5
        4639       12.17       10.95       10.39          55       151.5
        4647       11.87       10.72        10.2          40          99
        4651       11.26       10.13         9.6          55         192
        4654       10.84        9.87        9.41          58       153.5
        4689       11.73       10.49        9.89          39       102.5
        4698       11.39        9.92        9.33          62       227.5
        7209       13.39       12.34       11.82          49       130.5
        7249       15.17       14.51       14.28          74        60.5
        7279       14.27       13.63        13.2          90         124
        7352       14.31       13.51        13.3          57          94
        7513       13.04       12.03        11.5          90         149
        7547       15.22       14.51       14.07          53        44.5
        7822       14.34       13.68       13.36          61          69
