RAICRS,DEICRS,r0,S/N,F90b,b_F90b,B_F90b,HRhs
230.7276940,8.6088402,1.019,2.450,9.461613212357e-16,2.102580713857e-16,1.682064571086e-15,-0.99938
230.7354120,8.6503877,1.214,2.486,6.390833629216e-15,3.363596646956e-15,9.418070611476e-15,-0.43473
230.6514743,8.7079870,3.937,2.324,2.677782065035e-14,1.713780521622e-14,3.588227967147e-14,-0.02374
230.6994473,8.7184363,2.634,4.167,4.638362230342e-15,3.010866710924e-15,6.26585774976e-15,-0.12742
230.7019097,8.8417521,9.050,4.054,7.89298232415e-14,5.866405781463e-14,9.812896943538e-14,0.00125
230.7062717,8.7396704,3.676,2.818,9.33543547415e-15,6.116319793409e-15,1.239359537085e-14,-0.34104
230.7692842,8.7112622,1.656,2.087,3.301711478728e-15,1.320684591491e-15,5.200195578996e-15,-0.01374
230.7078289,8.6123693,0.740,13.005,6.034364981526e-14,5.449335925961e-14,6.584980563235e-14,0.33854
230.7113460,8.7465603,1.460,9.949,3.718895206477e-14,3.297182398445e-14,4.140608014509e-14,0.40849
230.7128610,8.7054054,0.752,22.745,1.511288696107e-13,1.407006748558e-13,1.615570643657e-13,-0.45971
230.7184986,8.6265960,0.721,16.464,6.805780188254e-14,6.210045315007e-14,7.401515061501e-14,0.28232
230.7197182,8.7452680,2.891,4.114,7.288843088438e-15,5.176134946862e-15,9.295915822935e-15,-0.53592
230.7208424,8.6030897,0.839,5.806,9.851790861e-15,8.184440416603e-15,1.15191413054e-14,-0.14366
230.7303116,8.6678424,0.930,3.556,5.124126152857e-15,3.315611040084e-15,6.832168203809e-15,0.99938
230.7314532,8.5697097,1.088,5.333,5.57631193437e-15,4.360961897392e-15,6.720170792702e-15,-0.47220
230.7378791,8.7333364,1.909,4.970,9.853607526468e-15,6.774355174446e-15,1.277889726089e-14,0.99938
230.7435872,8.6293260,0.740,4.294,3.514688316283e-15,2.030708804964e-15,4.920563642797e-15,-0.16864
230.7481246,8.7696760,4.153,2.619,6.412636113824e-15,3.946237608507e-15,8.755714693875e-15,-0.49219
230.7537937,8.7295020,5.027,3.024,1.173386555301e-14,6.425688279031e-15,1.676266507573e-14,0.99938
230.7564926,8.6037459,0.721,10.475,2.1889754974e-14,1.968399925607e-14,2.409551069193e-14,-0.12867
230.7599299,8.4739900,3.009,2.364,8.047683188454e-15,4.76899744501e-15,1.117733776174e-14,-0.99938
230.7608266,8.6031733,0.849,4.514,2.418699354253e-15,1.649113196082e-15,3.188285512425e-15,-0.51468
230.7645325,8.6425976,0.733,3.946,4.747959534882e-15,3.542128541896e-15,5.953790527868e-15,0.31605
230.7649294,8.6432127,0.771,4.162,3.221664154509e-15,2.448464757427e-15,3.994863551592e-15,-0.36102
230.7690141,8.6123690,0.839,3.220,1.714024769594e-15,8.213035354305e-16,2.606746003758e-15,-0.32979
230.7727593,8.6032777,0.812,2.762,3.279357421647e-15,2.363066377364e-15,4.195648465931e-15,-0.02374
230.7758749,8.7385083,2.245,3.163,4.99836676271e-15,3.407977338212e-15,6.588756187209e-15,0.16365
230.7791921,8.6766590,1.016,3.789,2.797408758604e-15,1.94013833258e-15,3.609559688521e-15,-0.80075
230.7867890,8.6725347,1.067,2.944,5.487467519092e-15,3.471663124323e-15,7.50327191386e-15,0.99938
230.7825826,8.6519444,0.771,3.730,4.393027214264e-15,3.010037165329e-15,5.776017263199e-15,0.99938
230.7850114,8.6252875,0.793,2.133,4.666324152484e-15,3.399750453953e-15,5.932897851016e-15,0.10743
230.7891305,8.6474885,0.716,14.026,2.898313522565e-14,2.685276538565e-14,3.111350506565e-14,-0.52967
230.7954060,8.5638738,0.841,9.290,1.603033127089e-14,1.343963698645e-14,1.844831260303e-14,-0.49219
230.8009891,8.5499094,0.714,77.916,1.438447554472e-12,1.408193132481e-12,1.468701976463e-12,-0.22236
230.8083842,8.6455700,0.884,4.057,2.739356086384e-15,2.006288964676e-15,3.433840728003e-15,-0.99938
230.8126989,8.5737710,1.483,4.571,2.110756256953e-15,9.781553385878e-16,3.191875315392e-15,-0.99938
230.8134947,8.6562236,1.024,4.278,2.773836785876e-15,1.904425255975e-15,3.643248315777e-15,0.21487
230.8135647,8.6629740,1.093,3.700,2.891800435631e-15,1.546776977198e-15,4.236823894064e-15,0.00125
230.8140483,8.6590132,0.822,5.782,8.216449158287e-15,6.403997138077e-15,1.00289011785e-14,-0.39975
230.8185229,8.6381370,0.823,4.412,3.935250975401e-15,2.937581714032e-15,4.877494166694e-15,0.07745
230.8221616,8.7195780,2.666,2.432,1.04875497719e-14,5.493478451949e-15,1.523191752586e-14,-0.21487
230.8276295,8.7223664,1.695,4.432,2.647297011969e-14,1.897229525245e-14,3.353242881828e-14,-0.43848
230.8476505,8.5370337,1.543,5.649,3.966991298982e-14,3.058884857046e-14,4.827302665026e-14,-0.33854
230.8609666,8.5750132,1.231,7.469,7.583219311204e-14,6.518111459219e-14,8.648327163189e-14,-0.45721
230.8656799,8.5274101,5.080,3.722,6.478900310873e-15,3.239450155437e-15,9.71835046631e-15,-0.40350
230.8742588,8.6312056,1.443,3.029,1.27707102306e-14,8.173254547581e-15,1.736816591361e-14,-0.54591
230.8801525,8.4621273,4.321,5.515,2.996964626459e-14,2.383128498148e-14,3.61080075477e-14,-0.05497
230.9973977,8.6888629,7.313,6.962,4.250529094535e-14,3.131968806499e-14,5.313161368169e-14,-0.08245
