Star V B-V Airmass Binst Vinst
GD140 12.5 -0.06 1.2 16.22 16.0
HZ14 14.01 -0.18 1.74 17.81 17.65
HZ14 14.01 -0.18 1.02 17.61 17.53
Feige34 11.25 -0.3 1.15 14.85 14.78
HZ14 14.01 -0.18 2.12 17.91 17.79
HZ14 14.01 -0.18 1.16 17.82 17.51
GD140 12.5 -0.06 2.06 16.45 16.18
HZ14 14.01 -0.18 1.65 17.87 17.65
PG0934 12.16 -0.26 1.9 16.04 15.79
Feige34 11.25 -0.3 1.61 14.9 14.98
GD140 12.5 -0.06 1.46 16.39 16.16
PG0934 12.16 -0.26 1.42 15.87 15.76
Feige34 11.25 -0.3 2.28 15.06 14.97
PG0934 12.16 -0.26 2.08 15.96 15.94
PG0934 12.16 -0.26 1.56 15.84 15.85
HZ14 14.01 -0.18 1.98 17.92 17.68
GD140 12.5 -0.06 1.93 16.43 16.25
GD140 12.5 -0.06 2.54 16.68 16.17
HZ14 14.01 -0.18 1.47 17.72 17.69
PG0934 12.16 -0.26 1.41 15.69 15.76
GD140 12.5 -0.06 1.42 16.32 16.17
GD140 12.5 -0.06 1.9 16.54 16.27
Feige34 11.25 -0.3 2.09 15.02 14.89
