ra,dec,z,zErr,dered_u,dered_g,dered_r,dered_i,dered_z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z
12.620745,-0.53058847,0.0189881,5.868656E-06,18.55029,17.59002,17.35624,17.26753,17.20298,0.06607,0.01390557,0.01891994,0.04907958,0.06769878
14.523431,-0.89968137,0.01720725,6.094229E-06,18.92827,18.01287,17.67355,17.53887,17.48454,0.0404199,0.009413863,0.01028809,0.01348932,0.03964281
18.817064,-1.1002426,0.01886455,3.106289E-05,18.45321,17.17085,16.67985,16.50395,16.34431,0.05080063,0.01862674,0.0197349,0.02371258,0.06570433
18.719527,-1.0952887,0.006760948,6.139023E-06,17.86246,16.77535,16.3584,16.11903,15.97216,0.03289786,0.008477188,0.009853031,0.01374212,0.03451626
18.035962,-0.41023975,0.01819565,9.597055E-06,16.20323,14.45858,13.67444,13.31232,13.02425,0.009630176,0.00210922,0.00191517,0.001908594,0.002935831
18.178385,-0.40254347,0.01748205,1.800985E-05,19.53631,18.1657,17.62207,17.31581,17.12723,0.06273037,0.01276146,0.01253088,0.01226842,0.04185852
18.148753,-0.41466378,0.01779974,2.716487E-05,18.86808,17.28004,16.6295,16.31236,16.06866,0.046881,0.007054068,0.005891148,0.006101242,0.01593626
18.202533,-0.29018558,0.01754371,1.089941E-05,15.56987,13.71827,12.92527,12.50966,12.18566,0.006151075,0.001769187,0.001665362,0.001653366,0.002090257
18.239269,-0.34498395,0.01877255,6.818072E-06,15.93575,14.04722,13.27077,12.87024,12.55827,0.006808181,0.001973434,0.001848531,0.001843976,0.002333944
18.032314,-1.0006862,0.01243061,5.848166E-06,17.53935,16.53083,16.13651,15.97922,15.85744,0.01700985,0.004211306,0.003876026,0.004937438,0.01226191
17.959506,-0.61970999,0.01892829,3.18182E-05,19.28772,17.82322,17.17665,16.88544,16.68621,0.05458362,0.007463027,0.006431276,0.007121885,0.01844266
