R muB muV
0.25 21.26 20.45
0.75 21.69 21.02
1.25 22.0 21.36
1.75 22.27 21.68
2.25 22.34 21.78
2.75 22.57 22.04
3.25 22.76 22.25
3.75 22.96 22.47
4.25 23.2 22.71
4.75 23.45 22.96
5.25 23.72 23.26
5.75 24.05 23.59
6.25 24.3 23.82
6.75 24.55 24.09
7.25 24.89 24.47
7.75 25.15 24.71
8.25 25.36 24.95
8.75 25.61 25.21
9.25 25.81 25.42
9.75 26.13 25.73
10.25 26.43 26.01
10.75 26.6 26.19
11.25 26.74 26.38
11.75 26.99 26.63
12.25 27.2 26.79
12.75 27.48 27.09
13.25 27.91 27.48
13.75 28.2 27.74
14.25 28.4 27.96
14.75 28.61 28.14
15.25 28.91 28.47
15.75 29.06 28.59
16.25 29.34 28.91
16.75 29.51 29.02
17.25 29.73 29.28
17.75 29.98 29.47
18.25 29.97 29.5
18.75 30.09 29.58
19.25 30.43 29.82
