R V
0.1 63.52007
0.2 90.56082
0.3 108.1005
0.4 121.1567
0.5 131.5773
0.6 140.2247
0.7 147.5784
0.8 153.9352
0.9 159.4989
1.0 164.4188
1.1 168.8052
1.2 172.7518
1.3 176.3297
1.4 179.6003
1.5 182.6142
1.6 185.4047
1.7 188.022
1.744 189.1237
2.208 199.3179
2.472 204.2537
2.744 208.8111
3.008 212.7496
3.272 216.2283
3.52 219.0908
3.736 221.2757
3.992 223.5147
4.24 225.345
4.472 226.7784
4.688 227.8894
4.896 228.7744
5.128 229.5638
5.344 230.129
5.536 230.5033
5.736 230.7776
5.936 230.9452
6.112 231.0088
6.288 231.002
6.448 230.9382
6.624 230.8105
6.784 230.6468
6.92 230.4724
7.056 230.2693
7.176 230.0663
7.304 229.8284
7.408 229.6184
7.504 229.6095
8.0 228.5182
8.464 227.3291
8.712 226.6489
9.544 224.1896
10.656 220.8187
11.656 217.7819
12.688 214.8008
13.768 212.0168
14.784 209.5577
15.96 206.9707
16.808 205.3922
17.416 204.2874
18.096 203.1242
18.84 201.9229
19.544 200.9541
20.256 199.9695
